Headword,Entry No.,No.,Syllabary,Stem,Practical,Simple phonetics,Tone and length 1,Tone and length 2,Part of speech,Grammar sub entry,Grammar note,Translation 1A,Translation 1B,Translation 1C,Translation 1D,Translation 1E,Translation 1F,Translation 1G,Translation 1H,Translation 1 sub entry,Translation 2A,Translation 2B,Translation 2C,Translation 2D,Translation 2 sub entry,Translation 3A,Translation 3B,Translation 3C,Translation 3D,Translation 3 sub entry,English gloss 1,English gloss 2,English gloss 3,English gloss 4,Compare 1,Compare 2,Compare 3,Word audio,Sentence 1 audio,Sentence-1 SYLL,Sentence-1 PHON,Sentence-1 ENGL,Sentence 2 audio,Sentence-2 SYLL,Sentence-2 PHON,Sentence-2 ENGL,Sentence 3 audio,Sentence-3 SYLL,Sentence-3 PHON,Sentence-3 ENGL,Source of sentence 1,Source of sentence 2,Source of sentence 3,Speaker of sentence 1,Speaker of sentence 2,Speaker of sentence 3,Notes on speaker of sentence 1,Notes on speaker of sentence 2,Notes on speaker of sentence 3,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏧᏣ,4.1,4,ᎠᏧᏣ,chuja,achuja,a-tsu-tsa,ạchűja,achű:ja,noun,singular,,boy,,,,,,,,,,,,,,,,,,,boy,,,,,,,Word_CNLD_boy_4.1.m4a,Sentence_for_entry_0004.m4a,Ꮎ *ᎠᏂᏧᏣ* ᏍᏆᏞᏍᏗ ᏓᎾᏁᎶᎲᏍᎦ.,ná *ani:chű:ja* sgwà:hle̋:sdi dà:ná:ne:lo:hv́sga,The *boys* are playing ball.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏂᏧᏣ,4.2,4,ᎠᏂᏧᏣ,chuja,anichuja,a-ni-tsu-tsa,ạnichűja,ani:chű:ja,noun,plural,,boys,,,,,,,,,,,,,,,,,,,boy,,,,,,,Word_0004.2.m4a,Sentence_for_entry_0004.m4a,Ꮎ *ᎠᏂᏧᏣ* ᏍᏆᏞᏍᏗ ᏓᎾᏁᎶᎲᏍᎦ.,ná *ani:chű:ja* sgwà:hle̋:sdi dà:ná:ne:lo:hv́sga,The *boys* are playing ball.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏨᏯ,5.1,5,ᎠᏨᏯ,chvya,achvya,a-tsv-ya,ạchvya,achv:ya,noun,singular,,male animal,,,,,,,,,,,,,,,,,,,animal,male,,,,,,,Sentence_for_entry_0005.m4a,ᏥᏔᎦ *ᎠᏂᏨᏯ* ᎤᎩᏥᏍᏕᏱ ᎠᎾᏴᎪᎢ.,jitǎ:ga *ani:chv:ya* u:gitsde̋:yi à:ná:yhgó:’i,*Roosters* crow at dawn.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏂᏨᏯ,5.2,5,ᎠᏂᏨᏯ,chvya,anichvya,a-ni-tsv-ya,ạnichvya,ani:chv:ya,noun,plural,,male animals,,,,,,,,,,,,,,,,,,,animal,male,,,,,,Word_0005.2.m4a,Sentence_for_entry_0005.m4a,ᏥᏔᎦ *ᎠᏂᏨᏯ* ᎤᎩᏥᏍᏕᏱ ᎠᎾᏴᎪᎢ.,jitǎ:ga *ani:chv:ya* u:gitsde̋:yi à:ná:yhgó:’i,*Roosters* crow at dawn.,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓ,6.1,6,ᎠᏓ,,ada,a-da,ạda,ada,noun,singular,,wood,,,,,,,,,,,,,,,,,,,wood,,,,,,,Word_0006.1.m4a,Sentence_for_entry_0006.m4a,ᎯᎳ ᏧᎬᏩᎶᏗ ᏌᏊ ᎢᎦᏒᏘ *ᎠᏓ?*,hila̋: ju:gv̋:walhdi sà:gwű i:gâ:sv̋:ti *ada*,How much does one rick of *wood* cost?,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓ,7.1,7,ᎠᏓ,,a’da,a-da,ạ̋’da,a̋’da,noun,singular,,young animal,,,,,,,,refers to an animal born in a litter or hatched,,,,,,,,,,,animal,young,,,,,,,Sentence_for_entry_0007.m4a,ᏥᏔᎦ *ᎠᏂᏓ* ᏧᏛᎯᏍᏙᏗ ᎠᏓᏅᏖᎭ.,jitǎ:ga *ani̋:da* ju:tvhisdóhdi̋ à:da:nhtě:ha,He’s thinking about raising *chicks.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏂᏓ,7.2,7,ᎠᏂᏓ,,anida,a-ni-da,ạni̋da,ani̋:da,noun,plural,,young animals,,,,,,,,refers to an animal born in a litter or hatched,,,,,,,,,,,animal,young,,,,,,Word_0007.2.m4a,Sentence_for_entry_0007.m4a,ᏥᏔᎦ *ᎠᏂᏓ* ᏧᏛᎯᏍᏙᏗ ᎠᏓᏅᏖᎭ.,jitǎ:ga *ani̋:da* ju:tvhisdóhdi̋ à:da:nhtě:ha,He’s thinking about raising *chicks.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏕᎦ,8.1,8,ᎠᏓᏕᎦ,,adadega,a-da-de-ga,àdạdéga,à:dadé:ga,verb (v.i.),3rd person singular,,it’s bouncing,,,,,,,,,,,,,,,,,,,bounce,,,,adadega,adadinvvdịha,,,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎦᏓᏕᎦ,8.2,8,ᎦᏓᏕᎦ,,gadadega,ga-da-de-ga,gạdạdéga,gadadé:ga,verb (v.i.),1st person singular with animate/ inanimate object,,I’m bouncing,,,,,,,,,,,,,,,,,,,bounce,,,,adadega,adadinvvdịha,,,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏗᏅᏒᎢ,8.3,8,ᎤᏓᏗᏅᏒᎢ,,udadinvsv’i,u-da-di-nv-sv-i,ùdạdǐnv̂sv̌’i,ù:dadǐ:nv̂:sv̌:’i,verb (v.i.),3rd person singular non-progressive remote past tense,,it bounced,,,,,,,,,,,,,,,,,,,bounce,,,,adadega,adadinvvdịha,,Word_0008.3.m4a,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏕᎪᎢ,8.4,8,ᎠᏓᏕᎪᎢ,,adadego’i,a-da-de-go-i,àdạdégó’i,à:dadé:gó:’i,verb (v.i.),3rd person singular present habitual,,it bounces,,,,,,,,,,,,,,,,,,,bounce,,,,adadega,adadinvvdịha,,,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏚᎦ,8.5,8,ᎭᏓᏚᎦ,,hadaduga,ha-da-du-ga,hạdạdùga,hadadù:ga,verb (v.i.),imperative with animate/ inanimate direct objects,,bounce!,,,,,,,,,,,,,,,,,,,bounce,,,,adadega,adadinvvdịha,,,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏗᏅᏗ,8.6,8,ᎤᏓᏗᏅᏗ,,udadinvdi,u-da-di-nv-di,udạdǐnv̂di,u:dadǐ:nv̂:di,verb (v.i.),3rd person singular infinitive,,to bounce,,,,,,,,,,,,,,,,,,,bounce,,,,adadega,adadinvvdịha,,,Sentence_for_entry_0008.m4a,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ *ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi *ù:dadi:nv̂:sv̌:’i*,When he threw the ball down‚ it *bounced.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏕᎦ,9.1,9,ᎠᏓᏕᎦ,,adadega,a-da-de-ga,àdạdéga,à:dadé:ga,verb (v.i.),3rd person singular,,he/she is limping,,,,,,,,,,,,,,,,,,,limp,,,,adadega,,,,Sentence_for_entry_0009.m4a,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎦᏓᏕᎦ,9.2,9,ᎦᏓᏕᎦ,,gadadega,ga-da-de-ga,gạdạdéga,gadadé:ga,verb (v.i.),1st person singular with animate/ inanimate object,,I’m limping,,,,,,,,,,,,,,,,,,,limp,,,,adadega,,,,Sentence_for_entry_0009.m4a,ᎠᏲᎤᏟ ᎠᏍᎦᏯ *ᎠᏓᏕᎬ* ᏥᎪᏩᏘᎭ.,ayo’ű:hli asgaya *à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,,,,,,,,Cherokee Dictionary 1975 Durbin Feeling,,,Anna Sixkiller,,,Cherokee National Treasure.,,,APPROVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
