has_problem,chapter,english,phonetic ɂ¹²³⁴,syllabary,audio
,Bathing (present),I am swimming or bathing.,ga²da²wo³³ʔa,ᎦᏓᏬᎠ,data/jw-conjugations/card_audio/split_audio_3918_5247.mp3
,Bathing (present),He or she and I are swimming or bathing.,o¹¹sda²da²wo³³ʔa,ᎣᏍᏓᏓᏬᎠ,data/jw-conjugations/card_audio/split_audio_11148_12790.mp3
,Bathing (present),They and I are swimming or bathing.,o¹¹tsa²da²wo³³ʔa,ᎣᏣᏓᏬᎠ,data/jw-conjugations/card_audio/split_audio_19095_20526.mp3
,Bathing (present),You and I are swimming or bathing.,i²²na²da²wo³³ʔa,ᎢᎾᏓᏬᎠ,data/jw-conjugations/card_audio/split_audio_27107_28435.mp3
,Bathing (present),You all and I are swimming or bathing.,i¹¹da²da²wo³³ʔa,ᎢᏓᏓᏬᎠ,data/jw-conjugations/card_audio/split_audio_35697_37099.mp3
,Bathing (present),You are swimming or bathing.,ha²da²wo³³ʔa,ᎭᏓᏬᎠ,data/jw-conjugations/card_audio/split_audio_40200_42074.mp3
,Bathing (present),You two are swimming or bathing.,sda²da²wo³³ʔa,ᏍᏓᏓᏬᎠ,data/jw-conjugations/card_audio/split_audio_45938_47285.mp3
,Bathing (present),You all are swimming or bathing.,i²²tsa²da²wo³³ʔa,ᎢᏣᏓᏬᎠ,data/jw-conjugations/card_audio/split_audio_52630_54392.mp3
,Bathing (present),"He, she, or it is swimming or bathing.",a²da²wo³³ʔa,ᎠᏓᏬᎠ,data/jw-conjugations/card_audio/split_audio_59715_61085.mp3
,Bathing (present),They are swimming or bathing.,a²na²da²wo³³ʔa,ᎠᎾᏓᏬᎠ,data/jw-conjugations/card_audio/split_audio_64522_65922.mp3
,Bathing (completed),I swam or bathed.,a¹¹gwa²da²wo³³Ɂv²³Ɂi,ᎠᏆᏓᏬᎥᎢ,data/jw-conjugations/card_audio/split_audio_155599_157225.mp3
,Bathing (completed),He or she and I swam or bathed.,o¹¹gi²na²da²wo³³Ɂv²³Ɂi,ᎣᎩᎾᏓᏬᎥᎢ,data/jw-conjugations/card_audio/split_audio_170112_171823.mp3
,Bathing (completed),They and I swam or bathed.,o¹¹ga²da²wo³³Ɂv²³Ɂi,ᎣᎦᏓᏬᎥᎢ,data/jw-conjugations/card_audio/split_audio_181113_183433.mp3
,Bathing (completed),You swam or bathed.,tsa²da²wo³³Ɂv²³Ɂi,ᏣᏓᏬᎥᎢ,data/jw-conjugations/card_audio/split_audio_205308_207527.mp3
,Bathing (completed),You two swam or bathed.,sda²da²wo³³Ɂv²³Ɂi,ᏍᏓᏓᏬᎥᎢ,data/jw-conjugations/card_audio/split_audio_211104_213825.mp3
,Bathing (completed),You all swam or bathed,i²²tsa²da²wo³³Ɂv²³Ɂi,ᎢᏣᏓᏬᎥᎢ,data/jw-conjugations/card_audio/split_audio_217390_220833.mp3
,Bathing (completed),You and I swam or bathed.,gi²na²da²wo³³Ɂv²³Ɂi,ᎩᎾᏓᏬᎥᎢ,data/jw-conjugations/card_audio/split_audio_192290_194311.mp3
,Bathing (completed),You all and I swam or bathed.,i¹¹ga²da²wo³³Ɂv²³Ɂi,ᎢᎦᏓᏬᎥᎢ,data/jw-conjugations/card_audio/split_audio_200000_202101.mp3
*,Bathing (completed),"He, she, or it swam or bathed.",u¹¹da²wo³³Ɂv²³Ɂi,ᎤᏓᏬᎥᎢ,
*,Bathing (completed),They swam or bathed.,u¹¹na²da²wo³³Ɂv²³Ɂi,ᎤᎾᏓᏬᎥᎢ,
