,Bedroom,dirty,ga²²da²²ha⁴,ᎦᏓᎭ,data/jw-living-phrases/split_audio/split_audio_1880_2791.mp3
,Bedroom,bedroom,"a²si²²nv,di² ka²nv³³su²²lv⁴",ᎠᏍᏏᏅᏗ ᎧᏅᏍᏑᎸ,data/jw-living-phrases/split_audio/split_audio_5710_7520.mp3
,Bedroom,bed,ga²ni²³hli²,ᎦᏂᎵ,data/jw-living-phrases/split_audio/split_audio_9660_10482.mp3
*,Bedroom,Make your bed,"o⁴⁴sda² ha,nv¹¹ga² ga²ni²³hli²",ᎣᏍᏓ ᎭᏅᎦ ᎦᏂᎵ,
,Bedroom,Change your sheets,ti²ne³³dli²²yv¹¹na² di²²kv³³hi²da²,ᏘᏁᏟᏴᎾ ᏗᎬᎯᏓ,data/jw-living-phrases/split_audio/split_audio_19557_22226.mp3
,Bedroom,I changed my sheets this morning,de²²tsi³ne³²dli²²yv²²na² di²²kv³³hi²da² ko²²hi² sa²na³³le⁴,ᏕᏥᏁᏟᏴᎾ ᏗᎬᎯᏓ ᎪᎯ ᏍᏌᎾᎴ,data/jw-living-phrases/split_audio/split_audio_26564_30630.mp3
,Bedroom,pillow,"a²kwi,sdo³",ᎠᏈᏍᏙ,data/jw-living-phrases/split_audio/split_audio_32970_33860.mp3
,Bedroom,Go to sleep,hwi²tlv²³na²,ᏫᎯᏢᎾ,data/jw-living-phrases/split_audio/split_audio_36570_37270.mp3
,Bedroom,Go to sleep (while in bed),hi²tlv²³na²,ᎯᏢᎾ,data/jw-living-phrases/split_audio/split_audio_41740_42548.mp3
,Bedroom,How did you sleep,o²²si²²tsu³ hi²tlv²²na²,ᎣᏍᏏᏧ ᎯᏢᎾ,data/jw-living-phrases/split_audio/split_audio_45800_47367.mp3
,Bedroom,sheets,di²²kv³³hi²da²,ᏗᎬᎯᏓ,data/jw-living-phrases/split_audio/split_audio_49760_50740.mp3
,Bedroom,blanket,u²²ne²²gv²²ha⁴,ᎤᏁᎬᎭ,data/jw-living-phrases/split_audio/split_audio_57400_58600.mp3
,Bedroom,Fold the blanket,u²²ne²²gv²²ha⁴ hi²²yv³hgwi²do²²si¹¹ya²,ᎤᏁᎬᎭ ᎯᏴᏈᏙᏍᏏᏯ,data/jw-living-phrases/split_audio/split_audio_61630_64730.mp3
,Bedroom,Get me another blanket,so³ʔi² u²²ne²²gv²²ha⁴ di²²sgi²nv²ʔsi²,ᏍᏐᎢ ᎤᏁᎬᎭ ᏗᏍᎩᏅᏍᏏ,data/jw-living-phrases/split_audio/split_audio_68050_70870.mp3
