,,TAHLEQUAH,,ᏓᎵᏆ,
,,A multi-million-dollar effort to transform a former casino into the Cherokee Nation’s new language hub is expected to wrap up later this year.,,ᎢᎸᏍᎩ ᎢᏳᏆᏗᏅᏓ ᏧᎬᏩᎶᏗ ᎯᎠ ᎤᏂᏁᏟᏴᏌ ᎤᏔᎾ ᏧᏂᏆᎾᏲᏍᏗ ᏄᎵᏍᏔᏅᎯ ᏃᏊ ᏣᎳᎩ ᎠᏰᎵ ᎢᏤ ᎦᏬᏂᎯᏍᏗ ᎤᏂᏴᏍᏗ ᎨᏎᏍᏗ ᎯᎠ ᏧᏕᏘᏴᏌᏓ.,
,,"Barring unforeseen setbacks, construction and renovation should be completed by Labor Day weekend, according to Language Department Executive Director Howard Paden.",,"ᎠᏲᏍᏗᏍᎩ ᏫᎾᏂᎪᏩᏘᏍᎬᎾ ᎠᏲᏍᏗᏍᎩ, ᏓᎾᏁᏍᎨᏍᎬ ᎠᎴ ᎣᏍᏓ ᎾᏅᏁᎲᎢ ᎠᏍᏆᏙᏅ ᎨᏎᏍᏗ ᎾᎿ ᏗᎦᎸᏫᏍᏓᏁᏗ ᎢᎪ ᏥᎨᏐ ᎠᏍᏆᏗᏍᎬ ᏒᎾᏙᏓᏆᏍᏗ ᎠᎵᏍᏆᏗᏍᎬ, ᏂᏓᏩᏁᏨ ᎾᏍᎩ ᎦᏬᏂᎯᏍᏗ ᎤᎾᏙᏢᏒ ᏄᎬᏫᏳᏒ ᏗᎫᎪᏔᏂᏙ Howard Paden.",
,,"“So we may be looking at opening up sometime in October, a lot faster than what I thought,” Paden said.",,"“ᎾᏍᎩᏃ ᎢᏳᏍᏗ ᎡᎵᏊ ᏱᏗᎦᏕᏃᎮ ᎢᎸᏢ ᎠᏟᎢᎵᏒ October ᎧᎸᎢ, ᎠᎨᏴ ᎤᏟᏍᏗᏯ ᎾᏃ ᎠᏆᏓᏅᏖᎸᎢ, ᎠᏗᏍᎬ Paden.",
,,“This is incredible.”,,“ᎯᎠ ᏙᎯᏳ ᎤᏍᏆᏂᎪᏗ.”,
,,Construction of the $5 million Durbin Feeling Language Center in Tahlequah began in May 2021.,,ᎠᎾᏁᏍᎨᏍᎬ ᎾᏍᎩ ᎯᎠ ᎯᏍᎩ ᎢᏳᏆᏗᏅᏓ ᏧᎵᎬᏩᏝ ᎾᎿ Durbin Feeling ᎦᏬᏂᎯᏍᏗ ᎠᏰᎵ ᎾᎿ ᏓᎵᏆ ᎠᏓᎴᏂᏍᎬ ᎾᎿ May 2021.,
,,"New wings have been added to each side of the building, doubling the space for a total of more than 50,000 square feet.",,"ᏗᏤᎢ ᏗᎧᏅᏑᎳᏅ ᎢᏧᎳ ᏗᎬᎦᏓ ᎾᏍᎩ ᎠᏓᏁᎸᎢ, ᏔᎵ ᎢᏳᏩᎪᏗ ᎢᎩᏓ ᏂᎦᎵᏍᏗ ᏂᎬᎢ ᏯᏛᎾ 50,000 sq. Ft.",
,,"Once expansion and remodeling of the former Cherokee Casino-Tahlequah building is complete, the tribe will place all of its language-related programs under one roof.",,"ᏃᏊᏃ ᎠᏂᏍᏆᏛ ᎠᎾᏔᏃᎯᏍᏗᏍᎬ ᎠᎴ ᎣᏍᏓ ᎾᏅᏁᎲᎢ ᎤᏪᏘ ᏧᏂᏆᎾᏲᏍᏗ-ᏓᎵᏆ ᏣᏓᏁᎸ, ᎾᏍᎩᏃ ᎾᎯᏳ ᎠᏂᎳᏍᏓᏢ ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ ᏧᏂᎸᏫᏍᏓᏁᎯ ᎾᏃ ᏂᎦᏓ ᏛᏂᏴᏟᏝ ᏌᏊ ᎦᎵᏦᏛ ᎭᏂᏅᏗᏢ.",
,,"“About everything that will happen with language revitalization will be here,” Paden said.",,"“ᏂᎦᏓᏊ ᎢᏳᏍᏗ ᎾᏍᎩ ᏂᏗᎦᎵᏍᏔᏂᏒ ᎾᎿ ᎦᏬᏂᎯᏍᏗ ᎤᎴᏂᏏᏐᏗ ᎠᎭᏂ ᎨᏎᏍᏗ,” ᎠᏗᏍᎬ Paden.",
,,“We’ll obviously have translation.,,“ᏙᎯᏳᏃ ᎠᎾᏁᎶᏗᏍᎩ ᏚᏂᎸᏫᏍᏓᏁᎮᏍᏗ ᎠᎭᏂ.,
,,We’ll have master-apprentice.,,ᏙᎩᎧᎭ ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ ᎤᎾᏓᏂᎳᎨᎢ.,
