verb,person,tense,form,form (JW),notes
bend (something),1s,pres,jìì.yvvhkwitv́ʔvska,ji²¹.yv²²hkwi²tv³ʔv²ska²,
bend (something),2s,pres,hi.hyvvhkwitv́ʔvska,hi².hyv²²hkwi²tv³ʔv²ska²,
bend (something),3s,pres,àà.hyvvhkwitv́ʔvska,a²¹.hyv²²hkwi²tv³ʔv²ska²,
bend (something),Id,pres,ììnii.hyvvhkwitv́ʔvska,i²¹ni²².hyv²²hkwi²tv³ʔv²ska²,
bend (something),Ed,pres,òòstii.hyvvhkwitv́ʔvska,o²¹sti²².hyv²²hkwi²tv³ʔv²ska²,
bend (something),2d,pres,stii.hyvvhkwitv́ʔvska,sti²².hyv²²hkwi²tv³ʔv²ska²,
bend (something),Ip,pres,ììtii.hyvvhkwitv́ʔvska,i²¹ti²².hyv²²hkwi²tv³ʔv²ska²,
bend (something),Ep,pres,òòjii.hyvvhkwitv́ʔvska,o²¹ji²².hyv²²hkwi²tv³ʔv²ska²,
bend (something),2p,pres,ììjii.hyvvhkwitv́ʔvska,i²¹ji²².hyv²²hkwi²tv³ʔv²ska²,
bend (something),3p,pres,àànii.hyvvhkwitv́ʔvska,a²¹ni²².hyv²²hkwi²tv³ʔv²ska²,
bend (something),1s,hab,jìì.yvvhkwitv́ʔvskóóʔi,ji²¹.yv²²hkwi²tv³ʔv²sko³³ʔi²,
bend (something),2s,hab,hi.hyvvhkwitv́ʔvskóóʔi,hi².hyv²²hkwi²tv³ʔv²sko³³ʔi²,
bend (something),3s,hab,àà.hyvvhkwitv́ʔvskóóʔi,a²¹.hyv²²hkwi²tv³ʔv²sko³³ʔi²,
bend (something),Id,hab,ììnii.hyvvhkwitv́ʔvskóóʔi,i²¹ni²².hyv²²hkwi²tv³ʔv²sko³³ʔi²,
bend (something),Ed,hab,òòstii.hyvvhkwitv́ʔvskóóʔi,o²¹sti²².hyv²²hkwi²tv³ʔv²sko³³ʔi²,
bend (something),2d,hab,stii.hyvvhkwitv́ʔvskóóʔi,sti²².hyv²²hkwi²tv³ʔv²sko³³ʔi²,
bend (something),Ip,hab,ììtii.hyvvhkwitv́ʔvskóóʔi,i²¹ti²².hyv²²hkwi²tv³ʔv²sko³³ʔi²,
bend (something),Ep,hab,òòjii.hyvvhkwitv́ʔvskóóʔi,o²¹ji²².hyv²²hkwi²tv³ʔv²sko³³ʔi²,
bend (something),2p,hab,ììjii.hyvvhkwitv́ʔvskóóʔi,i²¹ji²².hyv²²hkwi²tv³ʔv²sko³³ʔi²,
bend (something),3p,hab,àànii.hyvvhkwitv́ʔvskóóʔi,a²¹ni²².hyv²²hkwi²tv³ʔv²sko³³ʔi²,
bend (something),1s,rempast,ààki.yvvhkwitv́vnvv́ʔi,a²¹ki².yv²²hkwi²tv³²nv²³ʔi²,(ààkhiyvvhkwitv́vnvv́ʔi)
bend (something),2s,rempast,ja.yvvhkwitv́vnvv́ʔi,ja².yv²²hkwi²tv³²nv²³ʔi²,(chayvvhkwitv́vnvv́ʔi)
bend (something),3s,rempast,ùù.hyvvhkwitv́vnvv́ʔi,u²¹.hyv²²hkwi²tv³²nv²³ʔi²,
bend (something),Id,rempast,kinii.hyvvhkwitv́vnvv́ʔi,ki²ni²².hyv²²hkwi²tv³²nv²³ʔi²,
bend (something),Ed,rempast,òòkinii.hyvvhkwitv́vnvv́ʔi,o²¹ki²ni²².hyv²²hkwi²tv³²nv²³ʔi²,
bend (something),2d,rempast,stii.hyvvhkwitv́vnvv́ʔi,sti²².hyv²²hkwi²tv³²nv²³ʔi²,
bend (something),Ip,rempast,ììkii.hyvvhkwitv́vnvv́ʔi,i²¹ki²².hyv²²hkwi²tv³²nv²³ʔi²,
bend (something),Ep,rempast,òòkii.hyvvhkwitv́vnvv́ʔi,o²¹ki²².hyv²²hkwi²tv³²nv²³ʔi²,
bend (something),2p,rempast,ììjii.hyvvhkwitv́vnvv́ʔi,i²¹ji²².hyv²²hkwi²tv³²nv²³ʔi²,
bend (something),3p,rempast,ùùnii.hyvvhkwitv́vnvv́ʔi,u²¹ni²².hyv²²hkwi²tv³²nv²³ʔi²,
bend (something),1s,reppast,ààki.yvvhkwitv́vnééʔi,a²¹ki².yv²²hkwi²tv³²ne³³ʔi²,(ààkhiyvvhkwitv́vnééʔi)
bend (something),2s,reppast,ja.yvvhkwitv́vnééʔi,ja².yv²²hkwi²tv³²ne³³ʔi²,(chayvvhkwitv́vnééʔi)
bend (something),3s,reppast,ùù.hyvvhkwitv́vnééʔi,u²¹.hyv²²hkwi²tv³²ne³³ʔi²,
bend (something),Id,reppast,kinii.hyvvhkwitv́vnééʔi,ki²ni²².hyv²²hkwi²tv³²ne³³ʔi²,
bend (something),Ed,reppast,òòkinii.hyvvhkwitv́vnééʔi,o²¹ki²ni²².hyv²²hkwi²tv³²ne³³ʔi²,
bend (something),2d,reppast,stii.hyvvhkwitv́vnééʔi,sti²².hyv²²hkwi²tv³²ne³³ʔi²,
bend (something),Ip,reppast,ììkii.hyvvhkwitv́vnééʔi,i²¹ki²².hyv²²hkwi²tv³²ne³³ʔi²,
bend (something),Ep,reppast,òòkii.hyvvhkwitv́vnééʔi,o²¹ki²².hyv²²hkwi²tv³²ne³³ʔi²,
